Wind NREL,Wind,Solar NREL,Solar
517.0518303,188.5405768,0,0
511.6876245,195.7734396,0,0
514.1102438,203.2127248,0,0
521.9689628,208.7045459,0,0
531.8828282,211.8287278,0,0
540.4708863,211.0878261,0,0
544.928038,207.9660916,0,0
544.752601,204.4746696,0,0
540.0187471,207.6691854,0,0
530.8006482,207.9138227,0,0
517.4631234,205.9611436,0,0
501.533581,210.7124297,0,0
484.8300761,208.1855632,0,0
469.1706641,213.4538896,0,0
456.0222514,219.7784699,0,0
445.4471487,230.3800297,0,0
437.1565178,232.4325371,0,0
430.8615204,237.0130776,0,0
426.4260026,243.131433,0,0
424.324546,238.3963851,0,0
425.1844168,233.5314368,0,0
429.6328807,230.4718314,0,0
437.3125703,233.0803296,27.08822728,0
443.927585,233.2205356,73.92544913,0
444.1973909,239.0800533,144.4521299,0
432.8414538,248.8624392,257.3414467,0
406.4776936,246.4601374,427.9856911,20.2
369.2588399,247.1634931,636.0119207,100
327.1840568,241.2714653,863.131382,210.9
286.3678757,242.219491,1091.055322,296.7
251.7094883,247.0145254,1304.862366,353.2
223.6518331,252.2151699,1503.100649,400.9
201.5172006,252.7087917,1687.685688,440.3
184.6278813,256.4421339,1860.532996,466.5
172.3594109,255.0619988,2022.851214,481.7
164.211969,255.8117552,2173.021481,502.6
159.7370748,256.4767733,2308.718064,517.3
158.5056335,255.275671,2427.615227,518.9
160.1068185,256.6588879,2528.132201,472.6
164.1494471,257.0759297,2611.66807,541.6
170.266138,256.5438108,2680.366882,544
178.0895106,250.5205955,2736.372686,550.7
187.0042747,251.8274217,2780.838264,578
195.3788691,250.3678055,2810.951323,587
201.3343436,251.0968833,2822.908305,590.2
202.9917483,253.1466336,2812.905651,597
199.0694465,251.9686708,2778.724046,592.4
190.605129,251.9854836,2724.481138,601.2
179.2114968,251.6327372,2655.878819,605.9
166.5151691,250.8740749,2578.618981,595.1
154.9254953,250.289217,2497.06258,587.8
147.9555479,253.190587,2410.206827,572.8
